frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
76,1785284691813178833,1945.0,2276.0,331.0,0.0,,0.018229166666666668,,0.15708333333333332,0.6614583333333334,0.0,0.0008333333333333334,0.0,0.0,5.884210526315789,-1.5964912280701755,ok,ok
77,1785284691837501759,1948.0,2276.0,328.0,0.0,,0.0078125,,0.27875,0.7760416666666666,0.0,0.0016666666666666668,0.0,0.0,,,ok,missing_crossing
78,1785284691879957556,1948.0,2276.0,328.0,0.0,,0.015625,,0.18375,0.6979166666666666,0.0,0.0,0.0,0.0,4.87818181818182,-1.6181818181818182,ok,ok
79,1785284691912419352,1948.0,2276.0,328.0,0.0,,0.026909722222222224,,0.10333333333333333,0.5677083333333334,0.0,0.0,0.0,0.0,4.760513186029936,-1.5245901639344264,ok,ok
80,1785284691946632266,1945.0,2276.0,331.0,0.0,,0.021701388888888888,,0.19541666666666666,0.625,0.0,0.0,0.0,0.0,,,ok,missing_crossing
81,1785284691980454413,1948.0,2272.0,324.0,0.0,,0.016493055555555556,,0.15708333333333332,0.6927083333333334,0.0,0.0,0.0,0.0,5.007874015748033,-1.4015748031496065,ok,ok
82,1785284692014995086,1945.0,2276.0,331.0,0.0,,0.010416666666666666,,0.15791666666666668,0.765625,0.0,0.0,0.0,0.0,3.622988505747127,-1.6140350877192982,ok,ok
83,1785284692045847658,1945.0,2272.0,327.0,0.0,,0.014756944444444444,,0.18916666666666668,0.6770833333333334,0.0,0.0,0.0,0.0,,,ok,missing_crossing
84,1785284692074842212,1948.0,2272.0,324.0,0.0,,0.019965277777777776,,0.17583333333333334,0.6510416666666666,0.0,0.00125,0.0,0.0,8.036595744680852,-1.9574468085106385,ok,ok
85,1785284692103447301,1948.0,2276.0,328.0,0.0,,0.018229166666666668,,0.11583333333333333,0.6458333333333334,0.0,0.0,0.0,0.0,4.133280632411068,-1.5478260869565217,ok,ok
86,1785284692148317110,1945.0,2276.0,331.0,0.0,,0.025173611111111112,,0.16041666666666668,0.6041666666666666,0.0,0.0,0.0,0.0,,,ok,missing_crossing
87,1785284692180897399,1948.0,2276.0,328.0,0.0,,0.0234375,,0.11083333333333334,0.65625,0.0,0.0,0.0,0.0,3.8620232172470974,-1.373134328358209,ok,ok
88,1785284692203864234,1945.0,2272.0,327.0,0.0,,0.026909722222222224,,0.23833333333333334,0.6458333333333334,-2.0,0.0,0.0,0.0,,,ok,missing_crossing
89,1785284692248919209,1948.0,2276.0,328.0,0.0,,0.013888888888888888,,0.1825,0.6979166666666666,0.0,0.0,0.0,0.0,7.7371014492753645,-1.5652173913043477,ok,ok
90,1785284692271069208,1948.0,2276.0,328.0,0.0,,0.010416666666666666,,0.17375,0.7708333333333334,0.0,0.0,0.0,0.0,5.674342928660828,-1.9361702127659575,ok,ok
